title,location,price,area,no_rooms,interior,year
ApartmentVanOldenbarneveldtstraat,1052JVAmsterdam(FrederikHendrikbuurt),"€2,850permonth",115m²,3rooms,Furnished,
ApartmentIJselstraat34L,1078CJAmsterdam(IJselbuurt),"€2,500permonth",70m²,3rooms,Upholsteredorfurnished,
ApartmentVanNijenrodeweg,1083ELAmsterdam(Buitenveldert-Oost),"€1,850permonth",88m²,3rooms,Furnished,
ApartmentEstherdeBoer-vanRijkstraat,1065GNAmsterdam(SlotervaartZuid),"€1,800permonth",66m²,3rooms,Furnished,
ApartmentGaljootstraat,1086VEAmsterdam(IJburgWest),"€1,750permonth",95m²,3rooms,Furnished,
ApartmentNieuweSpiegelstraat481,1017DGAmsterdam(Grachtengordel-Zuid),"€2,250permonth",70m²,3rooms,Furnished,
ApartmentAlbertCuypstraat311,1072CLAmsterdam(OudePijp),"€1,950permonth",50m²,2rooms,Upholsteredorfurnished,
ApartmentAfroditekade163PP,1076DZAmsterdam(Stadionbuurt),"€2,700permonth",114m²,3rooms,,2008
ApartmentNachtwachtlaan,1058EMAmsterdam(OvertoomseVeld),"€2,000permonth",60m²,2rooms,Furnished,
ApartmentBolestein792,1081ERAmsterdam(Buitenveldert-West),"€2,250permonth",88m²,4rooms,Furnished,
ApartmentStuyvesantstraat49H,1058AKAmsterdam(WestindischeBuurt),"€2,350permonth",73m²,2rooms,Furnished,
ApartmentZeeburgerkade1222,1019VKAmsterdam(OostelijkHavengebied),"€3,000permonth",122m²,4rooms,Furnished,
ApartmentWarmoesstraat48B,1012JEAmsterdam(Burgwallen-OudeZijde),"€2,250permonth",47m²,2rooms,Upholsteredorfurnished,
ApartmentRuyschstraat993,1091BZAmsterdam(Oosterparkbuurt),"€2,600permonth",80m²,3rooms,Upholsteredorfurnished,
ApartmentRijnstraat,1078PVAmsterdam(IJselbuurt),"€2,350permonth",78m²,3rooms,Furnished,
ApartmentReyerAnslostraat17H,1054KTAmsterdam(OvertoomseSluis),"€3,000permonth",117m²,5rooms,,1878
ApartmentVrolikstraat,1092TWAmsterdam(Oosterparkbuurt),"€1,950permonth",57m²,2rooms,,
ApartmentVondelstraat,1054GEAmsterdam(Vondelbuurt),"€2,850permonth",125m²,3rooms,,1870
ApartmentUtrechtsestraat,1017VPAmsterdam(Grachtengordel-Zuid),"€2,450permonth",120m²,2rooms,Furnished,
HouseHolbeinstraat,1077VCAmsterdam(Apollobuurt),"€6,000permonth",201m²,5rooms,Upholstered,
ApartmentSarphatipark,1072PBAmsterdam(OudePijp),"€2,975permonth",83m²,3rooms,Furnished,
ApartmentHerengracht,1015BDAmsterdam(Grachtengordel-West),"€2,750permonth",100m²,3rooms,Furnished,
ApartmentHuidekoperstraat,1017ZMAmsterdam(DeWeteringschans),"€2,100permonth",65m²,3rooms,Furnished,
ApartmentJacobvanLennepkade,1053NNAmsterdam(VanLennepbuurt),"€1,650permonth",41m²,2rooms,Upholstered,
ApartmentKoggestraat,1012TAAmsterdam(Burgwallen-NieuweZijde),"€2,950permonth",92m²,3rooms,Upholsteredorfurnished,
ApartmentAdmiralengracht522,1057GAAmsterdam(Chassébuurt),"€1,500permonth",60m²,2rooms,Furnished,
ApartmentWoestduinstraat,1059TAAmsterdam(Hoofddorppleinbuurt),"€1,850permonth",55m²,2rooms,Furnished,
ApartmentNieuwezijdsVoorburgwal,1012RZAmsterdam(Burgwallen-NieuweZijde),"€3,000permonth",100m²,3rooms,Furnished,
