title,price,area,volume,type,year,no_rooms,no_bed,no_bath,no_floor,balcony,garden,interior
For rent: House Slingerweg in Wassenaar,"€8,500 per month",450 m²,1.125 m³,House,1975,10,7,5,3,nan,Present (4.418 m²),Upholstered
For rent: House de Vorster in Oirschot,"€1,895 per month",167 m²,557 m³,House,1974,5,4,2,3,nan,Present,Furnished
For rent: Apartment Postelstraat in Den Bosch,€995 per month,60 m²,nan,Apartment,1978,2,1,nan,1,nan,Not present,Upholstered
For rent: Apartment Geleenstraat in Heerlen,€975 per month,100 m²,290 m³,Apartment,1967,6,3,1,2,Present,Not present,nan
For rent: Apartment Thorbeckestraat 52 in Zandvoort,"€1,750 per month",85 m²,200 m³,Apartment,1955,4,3,1,2,Present,Not present,Upholstered
For rent: Apartment Meander 555 in Amstelveen,"€4,000 per month",125 m²,400 m³,Apartment,1961,5,4,2,1,Present,nan,Upholstered or furnished
For rent: Apartment Vinkenstraat in Zaandam,"€1,400 per month",85 m²,300 m³,Apartment,1910,2,1,1,1,Not present,nan,Furnished
For rent: Apartment Simon van Leeuwenstraat in Eindhoven,"€1,295 per month",58 m²,nan,Apartment,1959,2,1,1,nan,Present,nan,Upholstered
For rent: Apartment Karel de Grotelaan in Eindhoven,"€1,595 per month",35 m²,nan,Apartment,nan,2,1,1,1,nan,Present,Upholstered
For rent: House Nijensteinheerd 113 in Groningen,€945 per month,111 m²,nan,House,1985,5,3,1,nan,Not present,Present,Shell
For rent: Apartment Gasthuissteeg 15 in Purmerend,"€1,050 per month",53 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Upholstered
For rent: House Rosmertastraat 12 in Almere,"€1,895 per month",121 m²,360 m³,House,2015,5,4,1,3,Not present,"Present (60 m², located on the north-east)",Upholstered
For rent: Apartment Egelantiersgracht 446 in Amsterdam,"€2,500 per month",103 m²,252 m³,Apartment,1978,3,2,1,2,Present,"Present (10 m², located on the north-west)",Upholstered
For rent: Apartment Paulus Potterstraat 24 2 in Amsterdam,"€11,000 per month",242 m²,883 m³,Apartment,1903,4,3,2,1,Present,Present,Upholstered
For rent: Apartment Martinus Nijhofflaan 132 in Delft,"€1,350 per month",72 m²,235 m³,Apartment,2015,3,2,nan,1,Not present,Not present,Upholstered
For rent: Apartment Haarlemmermeerstraat in Amsterdam,"€2,250 per month",75 m²,255 m³,Apartment,1906-1930,3,2,1,1,Present,Not present,Furnished
For rent: Apartment Gashouderstraat in Rotterdam,"€1,000 per month",57 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Furnished
For rent: Apartment Grote Visserijstraat in Rotterdam,"€1,190 per month",75 m²,nan,Apartment,nan,3,2,1,nan,Not present,Present,Shell
For rent: House Winkeldijk 19 AR88 in Vinkeveen,"€1,300 per month",70 m²,nan,House,nan,3,2,1,nan,Not present,Present,Furnished
For rent: House Schoolpad 4 in Diemen,"€2,250 per month",104 m²,244 m³,House,1959,4,3,1,3,nan,Present,Furnished
For rent: Apartment Schammenkamp in Rotterdam,€945 per month,71 m²,nan,Apartment,nan,4,3,1,nan,Present,Not present,nan
For rent: Apartment Amstel in Amsterdam,"€2,975 per month",144 m²,314 m³,Apartment,1744,4,3,2,1,nan,Not present,Furnished
For rent: Apartment Jan den Haenstraat 42 in Amsterdam,"€2,500 per month",120 m²,515 m³,Apartment,1931,4,3,1,2,Present,Not present,nan
For rent: Apartment Dorpstraat in Veldhoven,"€1,450 per month",105 m²,nan,Apartment,nan,2,1,1,2,Present,Present,Upholstered
For rent: Apartment Amsterdamsestraatweg in Utrecht,"€1,795 per month",75 m²,225 m³,Apartment,1929,3,2,nan,1,Not present,nan,Upholstered
For rent: Apartment Aziëlaan in Utrecht,"€1,595 per month",92 m²,276 m³,Apartment,1969,3,2,1,1,Present,nan,nan
For rent: Apartment Jan van Scorelstraat in Utrecht,"€1,150 per month",35 m²,105 m³,Apartment,1915,2,1,1,1,Not present,Present,nan
For rent: Apartment Baanstraat in Beverwijk,"€1,450 per month",71 m²,240 m³,Apartment,1925,3,2,1,1,nan,Not present,Upholstered
For rent: Apartment Alexanderkade in Amsterdam,"€1,900 per month",90 m²,275 m³,Apartment,1888,3,2,1,1,nan,Not present,Upholstered
For rent: House Holtrichtersveld in Apeldoorn,"€1,395 per month",123 m²,nan,House,1977,5,4,1,nan,nan,Present (70 m²),Upholstered
For rent: Apartment Stationsstraat in Apeldoorn,"€1,200 per month",73 m²,nan,Apartment,1996,3,2,1,nan,nan,nan,Upholstered
For rent: Apartment Sonny Rollinsstraat in Utrecht,"€1,650 per month",88 m²,nan,Apartment,2012,3,2,1,nan,nan,nan,Furnished
For rent: Apartment Stationstraat 7 a in Meerssen,€940 per month,80 m²,nan,Apartment,1885,1,1,nan,nan,Not present,Not present,nan
For rent: Apartment Schalkwijkerstraat in Haarlem,"€1,500 per month",70 m²,210 m³,Apartment,1906-1930,2,1,1,1,Not present,"Present (24 m², located on the east)",Furnished
For rent: Apartment Markt 45 in Delft,"€1,155 per month",75 m²,220 m³,Apartment,1886,3,1,nan,2,Not present,Not present,Upholstered
For rent: Apartment Eeldersingel in Groningen,"€1,595 per month",62 m²,nan,Apartment,nan,3,2,2,1,nan,Present (20 m²),Furnished
For rent: House Mecklenburgstraat in Eindhoven,"€2,500 per month",118 m²,nan,House,1975,5,4,1,nan,nan,nan,Furnished
For rent: Apartment Lange Leidsedwarsstraat in Amsterdam,"€2,700 per month",100 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: Apartment Daguerrestraat in Den Haag,"€1,950 per month",109 m²,418 m³,Apartment,1895,3,2,1,2,Present,Not present,nan
For rent: Apartment Amundsenlaan in Eindhoven,"€1,795 per month",90 m²,270 m³,Apartment,2007,3,2,nan,1,Present,Not present,Furnished
For rent: Apartment Maashavenweg in Rotterdam,"€2,495 per month",103 m²,285 m³,Apartment,2022,4,3,1,1,nan,Not present,Furnished
For rent: Apartment Wijnbrugstraat in Rotterdam,"€2,495 per month",117 m²,275 m³,Apartment,2003,3,2,1,1,nan,Not present,Furnished
For rent: House Walhofstraat 54 in Enschede,"€1,300 per month",97 m²,280 m³,House,1906,4,3,1,1,Not present,Present,nan
For rent: Apartment Orchideestraat in Rotterdam,"€2,500 per month",110 m²,275 m³,Apartment,1980,5,4,nan,1,Present,Not present,Upholstered
For rent: Apartment Jonkerstraat in Den Helder,€595 per month,44 m²,nan,Apartment,1984,1,nan,1,1,nan,Not present,Shell
For rent: Apartment Cromhoutlaan in Rijswijk,"€1,325 per month",90 m²,225 m³,Apartment,1960-1970,5,3,1,1,Not present,Not present,Upholstered
For rent: Apartment Velpsestraat in Den Haag,"€1,195 per month",73 m²,255 m³,Apartment,1936,4,3,1,1,Present,Not present,nan
For rent: Apartment Heideveldweg 1 A in Heerlen,€763 per month,65 m²,180 m³,Apartment,1981,3,1,nan,1,Not present,Not present,nan
For rent: Apartment Engelenburg in Haarlem,"€1,500 per month",105 m²,332 m³,Apartment,1980,5,2,1,1,Present,Not present,Upholstered
For rent: House Lage Naarderweg 3 * in Hilversum,"€2,750 per month",196 m²,746 m³,House,1912,8,5,2,4,Present,"Present (177 m², located on the west)",nan
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,250 per month",66 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: House Dokter Bärstraat in Roermond,"€1,850 per month",116 m²,320 m³,House,2018,4,2,1,2,nan,Present (125 m²),Furnished
For rent: Apartment Czaar Peterstraat 156 huis in Amsterdam,"€1,650 per month",37 m²,141 m³,Apartment,1907,2,1,1,1,Not present,"Present (32 m², located on the south-east)",Upholstered
For rent: Apartment Nieuwe Prinsengracht in Amsterdam,"€2,300 per month",63 m²,231 m³,Apartment,1891,2,1,nan,1,Not present,Not present,nan
For rent: House Koolveld 2 in Den Hoorn,"€2,950 per month",191 m²,573 m³,House,2015,6,5,1,3,Not present,"Present (56 m², located on the south)",Upholstered or furnished
For rent: Apartment Brabantse Turfmarkt 33 in Delft,"€1,050 per month",36 m²,110 m³,Apartment,2001-2010,2,1,nan,1,Not present,"Present (16 m², located on the west)",Upholstered
For rent: Apartment Broekslootkade 69 in Rijswijk,"€1,450 per month",113 m²,410 m³,Apartment,1928,5,2,1,3,Present,Present (15 m²),Upholstered
For rent: Apartment Kerkstraat in Bavel,"€1,750 per month",120 m²,nan,Apartment,2010,3,2,nan,nan,nan,Present (1.500 m²),Upholstered
For rent: Apartment Haarlemmerweg 49 2 in Amsterdam,"€1,800 per month",54 m²,141 m³,Apartment,Before 1906,2,1,1,1,Not present,Not present,Furnished
For rent: Apartment Meander in Amstelveen,"€2,700 per month",107 m²,355 m³,Apartment,1960,4,3,2,1,nan,Not present,Upholstered or furnished
For rent: House Keizersgracht in Amsterdam,"€1,750 per month",65 m²,nan,House,nan,2,1,nan,nan,Not present,Present,Furnished
For rent: Apartment Hoogstraat in Eindhoven,"€2,750 per month",95 m²,nan,Apartment,2011,3,2,1,2,nan,Not present,Furnished
For rent: Apartment Couperusstraat in Groningen,"€1,395 per month",90 m²,nan,Apartment,nan,4,3,1,nan,Present,Present,Furnished
For rent: Apartment Cavaleriestraat 172 in Sittard,€880 per month,86 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Shell
For rent: Apartment Wilhelminaplein 6 B in Heemstede,"€1,245 per month",70 m²,220 m³,Apartment,1830,2,nan,1,2,Present,Not present,Upholstered
For rent: Apartment Kruisstraat 29 in Haarlem,"€2,000 per month",140 m²,430 m³,Apartment,1900,4,3,1,2,Present,Not present,Furnished
For rent: Apartment Schubertsingel in Den Bosch,"€1,175 per month",60 m²,nan,Apartment,2018,2,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Weerdsingel O.Z. in Utrecht,"€1,500 per month",75 m²,nan,Apartment,1880,2,1,1,nan,nan,nan,Furnished
For rent: Apartment Markt in Nieuwegein,"€1,350 per month",75 m²,nan,Apartment,1984,3,2,1,nan,nan,nan,Upholstered
For rent: House Havenplein 9 in Broek op Langedijk,"€1,850 per month",162 m²,454 m³,House,2019,5,4,1,2,Not present,Present (120 m²),Upholstered
For rent: Apartment Jacob van Lennepkade in Amsterdam,"€1,850 per month",47 m²,132 m³,Apartment,1900,3,2,nan,1,nan,Not present,Upholstered
For rent: Apartment Wijnbrugstraat in Rotterdam,"€1,775 per month",73 m²,217 m³,Apartment,2004,3,2,1,1,nan,Not present,Upholstered
For rent: House St. Annastraat in Nijmegen,"€1,400 per month",120 m²,nan,House,nan,2,1,1,nan,Not present,"Present (60 m², located on the south-east)",Furnished
For rent: Studio Oijenseweg in Oss,€550 per month,24 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Nieuweweg 28 in Groningen,"€1,100 per month",50 m²,nan,Apartment,nan,2,1,1,nan,nan,nan,Upholstered
For rent: House Schooterweg in Veldhoven,"€1,495 per month",156 m²,nan,House,nan,4,3,2,2,nan,Present,Upholstered
For rent: Apartment Grundelweg in Aalsmeer,"€1,175 per month",48 m²,130 m³,Apartment,2011,1,1,1,1,Not present,Not present,Furnished
For rent: Apartment Van Heuven Goedhartlaan 308 in Amstelveen,"€1,900 per month",90 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: House Spoorweghaven in Rotterdam,"€5,000 per month",240 m²,nan,House,2020,7,4,2,nan,nan,nan,Furnished
For rent: Apartment Grootzeilhof in Amsterdam,"€2,200 per month",80 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: Apartment Bagijnestraat in Den Haag,"€1,995 per month",100 m²,280 m³,Apartment,1910,4,2,1,2,Present,Not present,Upholstered
For rent: Apartment Scheltemalaan 37 in Amersfoort,"€1,225 per month",54 m²,nan,Apartment,1985,3,2,1,nan,Not present,Present,Upholstered
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,250 per month",66 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: Apartment Straatweg in Rotterdam,"€1,595 per month",70 m²,150 m³,Apartment,1914,2,1,nan,1,nan,Not present,Furnished
For rent: Apartment Tafelbergdreef 192 in Utrecht,"€1,325 per month",84 m²,nan,Apartment,1967,4,3,1,nan,Present,Not present,Upholstered
For rent: House Ganzepeppel 36 in 's-Heerenberg,€865 per month,100 m²,nan,House,1976,4,3,1,nan,Not present,Present,Shell
For rent: Apartment Voltastraat 11 in Apeldoorn,€925 per month,106 m²,nan,Apartment,1969,5,4,1,nan,Present,Not present,Shell
For rent: House Korenbloemstraat in Utrecht,"€1,750 per month",85 m²,212 m³,House,1906,4,2,2,2,nan,Present (16 m²),Upholstered
For rent: Apartment Zoutziedersstraat in Rotterdam,"€1,500 per month",75 m²,187 m³,Apartment,1924,3,2,1,2,Present,nan,Upholstered
For rent: Apartment Meint Veningastraat in Hoogezand,€763 per month,66 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Upholstered
For rent: Apartment Helper Brink 53 in Groningen,"€1,895 per month",200 m²,nan,Apartment,nan,5,4,1,nan,Present,Present (located on the south),Upholstered
For rent: Apartment Veenkade in Voorburg,"€2,295 per month",84 m²,nan,Apartment,nan,4,3,1,nan,Not present,Present,Upholstered
For rent: Apartment Korbootstraat in Den Haag,"€1,275 per month",50 m²,nan,Apartment,nan,3,2,nan,nan,Present,Not present,Upholstered
For rent: Apartment Burgemeester Patijnlaan 590 in Den Haag,"€1,175 per month",60 m²,170 m³,Apartment,1971-1980,2,1,1,1,Not present,"Present (12 m², located on the south-east)",Furnished
For rent: House Lupinestraat in Eindhoven,"€2,500 per month",130 m²,nan,House,nan,5,4,2,3,nan,Present,Furnished
For rent: Apartment Halstraat in Breda,"€1,395 per month",85 m²,nan,Apartment,nan,3,2,nan,nan,Present,Not present,Upholstered
For rent: House 1e Weerdsweg in Deventer,"€1,095 per month",78 m²,nan,House,1906,5,3,nan,nan,nan,Present,Upholstered
For rent: Apartment Peldenstraat 11 in Stein,€975 per month,86 m²,nan,Apartment,nan,3,2,1,nan,Not present,Present,Upholstered
For rent: Apartment Eerste Looiersdwarsstraat in Amsterdam,"€2,500 per month",65 m²,180 m³,Apartment,nan,2,1,1,1,nan,Present (80 m²),Furnished
For rent: Apartment Marktstraat in Groningen,"€1,170 per month",53 m²,135 m³,Apartment,1895,4,3,1,1,Not present,Not present,Upholstered
For rent: Apartment Emmastraat in Breda,"€1,050 per month",50 m²,nan,Apartment,1908,2,1,1,1,nan,Present (14 m²),Upholstered
For rent: Apartment De Hooghlaan in Bilthoven,"€1,075 per month",60 m²,180 m³,Apartment,1963,2,1,1,1,Present,Not present,Upholstered
For rent: House Willem van Oranjestraat 20 in Landgraaf,€935 per month,121 m²,nan,House,2007,4,3,nan,nan,Not present,"Present (46 m², located on the south-west)",Shell
For rent: Apartment Van Embdenstraat in Delft,"€1,450 per month",101 m²,268 m³,Apartment,2009,3,2,1,1,Present,Not present,Upholstered
For rent: House Edammerstraat 54 in Amsterdam,"€1,700 per month",64 m²,166 m³,House,1927,4,3,1,3,nan,Present,Furnished
For rent: Apartment Eerste Jan van der Heijdenstraat 116 H in Amsterdam,"€4,000 per month",83 m²,249 m³,Apartment,1892,3,1,1,1,nan,Present,Furnished
For rent: Apartment Parrestraat in Eijsden,€960 per month,59 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present (200 m²),Upholstered
For rent: Studio Damsterdiep 24 in Groningen,€975 per month,26 m²,nan,Studio,1901,2,1,nan,nan,nan,nan,nan
For rent: Apartment De Werf in Monnickendam,"€1,450 per month",78 m²,nan,Apartment,nan,2,1,2,1,nan,Not present,Upholstered
For rent: Apartment Spionkopstraat in Den Haag,"€1,850 per month",100 m²,nan,Apartment,nan,4,3,1,nan,Not present,Not present,Upholstered
For rent: Apartment Weena 443 in Rotterdam,"€1,955 per month",80 m²,208 m³,Apartment,1990,3,2,1,1,Not present,Present,nan
For rent: House Belcampoplantsoen 2 in Amstelveen,"€2,950 per month",166 m²,600 m³,House,1985,5,4,2,3,Not present,"Present (100 m², located on the west)",Upholstered or furnished
For rent: Apartment Beetzlaan in Soest,"€1,095 per month",53 m²,nan,Apartment,1985,2,1,1,nan,nan,"Present (95 m², located on the west)",Upholstered
For rent: Apartment Stovestraat in Amersfoort,"€1,395 per month",55 m²,nan,Apartment,1994,2,1,1,nan,nan,nan,Upholstered
For rent: House Gein-Zuid 12 in Abcoude,"€3,000 per month",190 m²,nan,House,nan,4,3,1,nan,Not present,Present,Upholstered
For rent: Apartment Straatweg in Rotterdam,"€1,595 per month",70 m²,150 m³,Apartment,1914,2,1,nan,1,nan,Not present,Furnished
For rent: Apartment Sanderijnstraat in Amsterdam,"€1,895 per month",65 m²,150 m³,Apartment,1940,3,2,1,1,Present,Not present,Upholstered
For rent: Apartment Kazernestraat 104 C in Den Haag,"€1,550 per month",65 m²,170 m³,Apartment,1920,3,2,1,1,nan,Not present,Furnished
For rent: House Boerendijk in Fijnaart,"€1,880 per month",143 m²,nan,House,1953,7,4,1,nan,nan,"Present (480 m², located on the south)",Furnished
For rent: Apartment Bergstraat in Rotterdam,"€1,300 per month",67 m²,245 m³,Apartment,1943,2,1,1,1,Not present,Present (15 m²),Upholstered
For rent: Apartment Bergstraat in Rotterdam,"€1,750 per month",107 m²,468 m³,Apartment,1943,3,2,1,2,Not present,Present,Upholstered
For rent: Apartment Mauritsstraat in Rotterdam,"€1,075 per month",53 m²,138 m³,Apartment,1881,2,1,1,1,Not present,nan,Upholstered
For rent: Apartment Eijmaelstraat in Heerlen,€760 per month,78 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: Apartment Banstraat 25 B* PP in Amsterdam,"€11,000 per month",194 m²,726 m³,Apartment,2016,4,3,2,1,Not present,"Present (106 m², located on the north-west)",nan
For rent: Apartment Emmastraat 8 C in Den Haag,"€1,495 per month",73 m²,225 m³,Apartment,1880,3,2,nan,1,Present,Not present,Furnished
For rent: Apartment Torenstraat 78 in Uithuizermeeden,€850 per month,50 m²,nan,Apartment,1901,2,1,nan,nan,nan,nan,Furnished
For rent: Apartment Heinsbergerweg 17 D1 in Roermond,Price on request,90 m²,275 m³,Apartment,2006,4,2,1,nan,Not present,Not present,nan
For rent: Apartment Willemstraat 43 in Voorburg,"€1,100 per month",60 m²,180 m³,Apartment,1930,3,2,1,1,Not present,Not present,Furnished
For rent: Apartment Meerwater in Eindhoven,"€1,800 per month",95 m²,290 m³,Apartment,2020,3,2,1,1,Present,Not present,Upholstered
For rent: Apartment Van Baerlestraat in Amsterdam,"€2,350 per month",55 m²,154 m³,Apartment,Before 1906,3,2,1,1,Present,Not present,Upholstered or furnished
For rent: Apartment Marie Baronlaan 21 in Amstelveen,"€2,250 per month",100 m²,290 m³,Apartment,2001,3,2,1,1,Present,nan,Furnished
For rent: House Haagstraat in Sittard,"€1,200 per month",100 m²,nan,House,1880,5,2,1,nan,nan,nan,Furnished
For rent: House Beslingastate in Leeuwarden,"€1,150 per month",125 m²,nan,House,nan,5,4,2,1,nan,Present,Upholstered
For rent: Studio Westerstraat in Amsterdam,"€1,350 per month",30 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: House Ansjoviskade 35 in Kolhorn,"€1,900 per month",159 m²,648 m³,House,2020,5,4,1,3,Not present,"Present (80 m², located on the south-west)",Furnished
For rent: Apartment Eschersingel in Utrecht,"€1,525 per month",100 m²,270 m³,Apartment,2000,3,2,1,1,nan,Not present,Upholstered or furnished
For rent: House Tulpstraat 6 in Colijnsplaat,"€1,450 per month",88 m²,426 m³,House,1970,5,3,1,3,nan,Present,Shell
For rent: Apartment Schiebroekselaan in Rotterdam,"€2,250 per month",138 m²,nan,Apartment,nan,5,4,1,nan,Present,Not present,Furnished
For rent: Apartment Botersloot in Rotterdam,"€1,995 per month",95 m²,247 m³,Apartment,2009,3,2,1,1,nan,Not present,Furnished
For rent: Apartment Victorieplein in Amsterdam,"€3,250 per month",110 m²,nan,Apartment,nan,4,3,1,nan,Not present,Present,Upholstered
For rent: Apartment Valkenbosplein in Den Haag,"€1,075 per month",65 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Furnished
For rent: House Savannestraat 21 in Purmerend,"€2,150 per month",135 m²,365 m³,House,2001-2010,5,3,1,3,Not present,Present (50 m²),Upholstered
For rent: House Carel Willinkstraat in Eindhoven,"€1,995 per month",160 m²,nan,House,2003,4,2,2,1,nan,Present,Furnished
For rent: Apartment Schoonhoeve in Eindhoven,"€1,460 per month",90 m²,nan,Apartment,nan,3,2,nan,1,Present,Not present,Furnished
For rent: Studio Westerstraat in Amsterdam,"€1,350 per month",30 m²,nan,Studio,nan,1,1,1,nan,Present,Not present,Upholstered
For rent: House Grundelhof 36 in Harlingen,"€1,145 per month",126 m²,nan,House,1980,4,3,1,nan,Present,Present,nan
For rent: Apartment Minervaplein in Amsterdam,"€2,850 per month",111 m²,320 m³,Apartment,1926,3,1,1,1,Present,Not present,Furnished
For rent: House 1e Jerichostraat 57 A in Rotterdam,"€2,500 per month",110 m²,300 m³,House,nan,4,3,1,2,nan,Present,Furnished
For rent: Apartment Burgemeester Patijnlaan in Den Haag,"€1,495 per month",80 m²,240 m³,Apartment,1975,3,2,1,1,Not present,nan,Furnished
For rent: Apartment Buitenkant in Zwolle,"€1,425 per month",77 m²,220 m³,Apartment,1750,3,2,1,2,nan,Not present,Upholstered
For rent: Apartment Hemonylaan in Amsterdam,"€2,075 per month",58 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment Markt in Etten-Leur,"€1,900 per month",120 m²,336 m³,Apartment,2021,4,3,1,1,Present,Not present,nan
For rent: Apartment Maliesingel in Utrecht,"€3,000 per month",222 m²,nan,Apartment,1876,4,3,2,nan,nan,nan,Upholstered
For rent: Apartment Aelbrechtskade in Rotterdam,"€1,500 per month",85 m²,250 m³,Apartment,1950,3,2,nan,1,Not present,Not present,nan
For rent: Apartment Vlissingsestraat 48 B in Middelburg,"€1,089 per month",55 m²,154 m³,Apartment,1800,3,1,1,2,nan,Not present,Furnished
For rent: House Bavelselaan in Breda,"€1,495 per month",80 m²,nan,House,1920,4,2,1,2,nan,Present,Furnished
For rent: Apartment Bergstraat in Rotterdam,"€1,250 per month",83 m²,319 m³,Apartment,1943,2,1,1,1,Not present,nan,Upholstered
For rent: Apartment Esplanade in Almere,"€1,450 per month",85 m²,260 m³,Apartment,2008,2,1,1,1,Not present,Not present,Furnished
For rent: Studio Veldhovenring in Tilburg,€570 per month,33 m²,nan,Studio,nan,1,nan,nan,nan,Present,Not present,Upholstered
For rent: Apartment Oosthavenkade in Vlaardingen,"€1,800 per month",85 m²,nan,Apartment,nan,4,2,1,1,Present,Not present,Furnished
For rent: Apartment Oosthavenkade in Vlaardingen,"€1,800 per month",85 m²,nan,Apartment,nan,4,2,1,1,nan,Not present,Furnished
For rent: Apartment Oosthavenkade in Vlaardingen,"€1,800 per month",85 m²,nan,Apartment,nan,4,2,1,1,Present,Not present,Furnished
For rent: Apartment Karel Doormanstraat 382 R in Rotterdam,"€1,450 per month",48 m²,135 m³,Apartment,2010,2,1,1,1,Present,Not present,Furnished
For rent: Apartment De Reijenburg in Veldhoven,"€1,600 per month",106 m²,nan,Apartment,2000,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment Hendrik van Tulderstraat in Tilburg,"€1,521 per month",59 m²,180 m³,Apartment,2020,2,1,1,1,nan,Not present,Furnished
For rent: Apartment Grote Visserijstraat in Rotterdam,"€1,795 per month",120 m²,nan,Apartment,nan,5,3,nan,2,nan,Present,Upholstered
For rent: Apartment Van Slingelandtstraat in Den Haag,"€1,695 per month",100 m²,300 m³,Apartment,1906,3,2,nan,2,Present,nan,nan
For rent: Apartment Driehoekstraat 36 in Amsterdam,"€1,850 per month",50 m²,110 m³,Apartment,1987,2,1,1,1,Present,Present,Furnished
For rent: Apartment Rembrandtweg 206 in Amstelveen,"€3,100 per month",125 m²,400 m³,Apartment,1996,3,2,nan,1,Not present,nan,Furnished
For rent: Apartment Catharina van Rennesstraat 245 in Den Haag,€767 per month,43 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Shell
For rent: Apartment Heuvelring in Tilburg,"€1,495 per month",112 m²,nan,Apartment,nan,3,1,1,nan,Present,nan,Shell
For rent: Room Klarendalseweg in Arnhem,€470 per month,11 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Meestoof in Middelburg,"€1,250 per month",109 m²,nan,Apartment,nan,3,3,nan,nan,Not present,Not present,Shell
For rent: Apartment Beekpoort 24 in Weert,"€1,050 per month",95 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Upholstered or furnished
For rent: Apartment Maria in Campislaan in Assen,€645 per month,52 m²,211 m³,Apartment,1964,2,1,1,1,Present,Not present,Upholstered
For rent: Apartment Buizerd 75 in Heerenveen,€925 per month,86 m²,nan,Apartment,1973,3,2,1,nan,Present,Not present,nan
For rent: Apartment Zwederstraat in Rotterdam,"€1,125 per month",65 m²,nan,Apartment,nan,4,1,nan,2,nan,Not present,Upholstered
For rent: Apartment Oostzeedijk in Rotterdam,"€1,495 per month",86 m²,224 m³,Apartment,1899,3,1,1,1,nan,Not present,Upholstered
For rent: House Dokter Bärstraat in Roermond,"€1,850 per month",116 m²,320 m³,House,2018,4,2,1,2,nan,Present (125 m²),Furnished
For rent: House 1e Jerichostraat 57 A in Rotterdam,"€2,500 per month",110 m²,300 m³,House,nan,4,3,1,2,nan,Present,Furnished
For rent: House Lijsterstraat in Leiden,"€2,750 per month",159 m²,nan,House,nan,7,6,2,nan,Present,Present (located on the south-east),Upholstered
For rent: Apartment Transvaalplein in Tilburg,€785 per month,50 m²,nan,Apartment,nan,2,1,nan,nan,Not present,Present,Upholstered
For rent: House Ribesstraat in Den Helder,€763 per month,94 m²,nan,House,1953,2,3,1,2,nan,Present,Shell
For rent: Apartment Voorstraat 283 A in Dordrecht,"€1,050 per month",65 m²,162 m³,Apartment,1930,3,2,nan,2,Not present,nan,Upholstered
For rent: Apartment Keizersgracht in Amsterdam,"€2,950 per month",91 m²,365 m³,Apartment,1685,2,1,1,1,nan,Not present,Furnished
For rent: Room Oude Vlijmenseweg in Den Bosch,€450 per month,13 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Lepelaarsingel in Vlaardingen,"€1,395 per month",87 m²,nan,Apartment,nan,4,3,nan,1,nan,Not present,Upholstered
For rent: Apartment Van der Helmstraat in Rotterdam,"€1,300 per month",75 m²,nan,Apartment,nan,3,1,nan,1,nan,Not present,Upholstered
For rent: Apartment Heemraadssingel in Rotterdam,"€1,450 per month",50 m²,nan,Apartment,1920,2,1,1,1,nan,Not present,Furnished
For rent: Apartment Juliana van Stolbergstraat in Amsterdam,"€1,750 per month",52 m²,149 m³,Apartment,1934,3,2,1,1,Not present,"Present (20 m², located on the north-west)",Furnished
For rent: Apartment Kerkstraat in Voorburg,"€1,495 per month",80 m²,220 m³,Apartment,1850,3,2,1,1,Present,nan,Upholstered
For rent: Apartment Van Alkemadelaan in Den Haag,"€1,695 per month",95 m²,237 m³,Apartment,1960,4,2,1,1,Present,Not present,Furnished
For rent: Apartment Sarphatipark 133 2 in Amsterdam,"€1,850 per month",70 m²,189 m³,Apartment,Before 1906,3,2,1,1,Present,Not present,Upholstered
For rent: Apartment Oostpoort 10 in Delft,"€1,175 per month",56 m²,155 m³,Apartment,1979,2,1,nan,1,Not present,Not present,Upholstered
For rent: House Sint Olofsstraat 21 G in Delft,"€1,750 per month",85 m²,255 m³,House,2017,3,2,nan,2,Not present,"Present (36 m², located on the south-west)",Upholstered
