title,price,area,volume,type,year,no_rooms,no_bed,no_bath,no_floor,balcony,garden,interior
For rent: Apartment De Rozentuin in Eindhoven,"€1,550 per month",110 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: Apartment Orteliuskade in Amsterdam,"€2,500 per month",75 m²,nan,Apartment,nan,3,1,1,nan,Not present,Present (located on the east),Upholstered
For rent: Apartment Statensingel 55 in Gouda,€885 per month,60 m²,nan,Apartment,1986,2,1,1,nan,Not present,Present,nan
For rent: Apartment Gerard Doustraat in Amsterdam,"€1,650 per month",40 m²,120 m³,Apartment,2021,2,1,1,1,nan,Not present,Upholstered
For rent: Apartment Prinseneiland in Amsterdam,"€2,300 per month",130 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Upholstered or furnished
For rent: Apartment Meteoorstraat 39 in Groningen,"€1,200 per month",90 m²,nan,Apartment,nan,3,2,1,nan,Present,nan,Upholstered
For rent: Apartment Graslaan in Arnhem,€655 per month,30 m²,nan,Apartment,nan,2,1,nan,1,nan,Not present,nan
For rent: Apartment Egelantiersstraat in Amsterdam,"€2,200 per month",80 m²,nan,Apartment,nan,3,2,1,nan,Not present,"Present (30 m², located on the south)",Upholstered
For rent: Apartment Johannes Verhulststraat in Amsterdam,"€1,850 per month",75 m²,150 m³,Apartment,1900,2,1,1,1,Not present,nan,Furnished
For rent: Apartment Albert Cuypstraat 31 1 in Amsterdam,"€1,950 per month",50 m²,153 m³,Apartment,1890,2,1,1,1,Present,Not present,Upholstered or furnished
For rent: House Schoolpad 4 in Diemen,"€2,250 per month",104 m²,244 m³,House,1959,4,3,1,3,nan,Present,Furnished
For rent: Apartment Veenendaalkade in Den Haag,"€1,450 per month",126 m²,nan,Apartment,nan,4,3,1,nan,Present,Not present,Upholstered
For rent: House Jacob Catsstraat in Hellevoetsluis,"€1,750 per month",150 m²,nan,House,1968,2,4,nan,2,nan,Present,Furnished
For rent: Apartment Soestdijksekade in Den Haag,"€1,150 per month",78 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment Woestduinstraat in Amsterdam,"€2,350 per month",75 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment Denneweg 7 1 in Den Haag,"€1,750 per month",80 m²,272 m³,Apartment,1772,3,2,1,1,Not present,Not present,Upholstered
For rent: House Koninginneweg in Rotterdam,"€1,495 per month",75 m²,nan,House,nan,4,2,1,2,nan,Present,Upholstered
For rent: House Overschiese Dorpsstraat 126 in Rotterdam,"€2,500 per month",140 m²,450 m³,House,1908,7,3,1,3,nan,Present (located on the south),Furnished
For rent: Apartment Portlandstraat in Rotterdam,"€1,350 per month",59 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Furnished
For rent: Apartment Koninginneweg 207 1 in Amsterdam,"€2,100 per month",80 m²,nan,Apartment,1905,3,2,1,nan,Not present,Not present,nan
For rent: Apartment Muiderslotstraat in Tilburg,"€1,249 per month",70 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Upholstered
For rent: House Leenderweg 272 in Eindhoven,"€2,100 per month",139 m²,590 m³,House,1928,5,4,1,3,Not present,Present (located on the south-west),Furnished
For rent: Apartment Cartier van Disselstraat in Breda,"€1,195 per month",76 m²,nan,Apartment,nan,3,2,1,1,nan,Present,Upholstered
For rent: Apartment Getfertweg in Enschede,"€1,200 per month",50 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Furnished
For rent: Apartment Orveltestraat in Den Haag,"€1,250 per month",86 m²,nan,Apartment,1989,3,2,1,nan,Present,nan,Furnished
For rent: Apartment Vlamenburg in Den Haag,"€1,250 per month",76 m²,nan,Apartment,1963,3,2,1,nan,Present,nan,Furnished
For rent: Apartment Polanenstraat in Rotterdam,"€1,075 per month",50 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: Room De Klomp in Enschede,€495 per month,13 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Van Hogendorpstraat 62 3 in Amsterdam,"€1,850 per month",51 m²,153 m³,Apartment,Before 1906,2,1,1,1,Present,Present,Upholstered or furnished
For rent: Apartment Brugstraat in Den Bosch,€690 per month,25 m²,45 m³,Apartment,1900,2,1,nan,1,Not present,Not present,Upholstered
For rent: Apartment Oldenzaalsestraat in Enschede,"€1,100 per month",65 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Upholstered
For rent: Apartment Graaf Adolfstraat in Eindhoven,"€1,395 per month",65 m²,nan,Apartment,1972,2,1,1,1,Present,Not present,Upholstered
For rent: Room Hommelstraat in Arnhem,€400 per month,14 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Plaats 33 B in Den Haag,"€1,695 per month",80 m²,240 m³,Apartment,1874,2,1,1,2,Not present,nan,Upholstered
